id,subj,nseq,ntrialsubj,ntrialseq,lasttrial,H,I,D,event,R,P_group,pred_trials,AL,ALV,slat,linger,dwell
336,49,8,89,15,15,-1.723,3.1699,0.01436,0,3.1781,60,0,2.0,1.0,438.57,861.69,1923.1
337,49,9,90,1,15,-1.9219,2.0,0.078072,0,0.0,100,0,0.0,,1106.9,950.03,1343.1
337,49,9,91,2,15,-1.7925,1.3219,0.029447,0,0.69315,100,1,0.0,,549.0,-144.53,806.47
337,49,9,92,3,15,-1.6645,1.0,0.014772,0,1.7918,100,1,1.0,0.0,464.31,27.439,1063.1
337,49,9,93,4,15,-1.5488,0.80735,0.00856,0,3.1781,100,1,0.0,,1069.5,-377.17,53.294
337,49,9,94,5,15,-1.4466,0.67807,0.0054313,0,4.7875,100,1,4.0,0.0,568.39,154.84,1086.4
337,49,9,95,6,15,-1.3568,0.58496,0.0036716,0,6.5793,100,1,2.0,0.0,347.08,60.261,1213.2
337,49,9,96,7,15,-1.2776,0.51457,0.002602,0,6.5793,100,1,0.0,,752.36,805.51,1553.2
337,49,9,97,8,15,-1.2075,0.45943,0.0019129,0,6.5793,100,1,2.0,0.0,917.69,870.85,1453.2
337,49,9,98,9,15,-1.1451,0.41504,0.0014482,0,6.5793,100,1,3.0,1.0,29.831,626.2,2096.4
337,49,9,99,10,15,-1.0892,0.37851,0.0011233,0,6.5793,100,1,0.0,,975.02,-478.31,46.668
337,49,9,100,11,15,-1.0389,0.34792,0.00088903,0,6.5793,100,1,0.0,,617.1,836.87,1719.8
337,49,9,101,12,15,-0.99339,0.32193,0.00071583,0,6.5793,100,1,,,,,
337,49,9,102,13,15,-0.95199,0.29956,0.00058497,0,6.5793,100,1,3.0,1.0,-195.43,934.18,2629.6
337,49,9,103,14,15,-0.91418,0.28011,0.00048423,0,6.5793,100,1,3.0,1.0,-30.085,123.08,1653.2
337,49,9,104,15,15,-0.87951,0.26303,0.00040541,0,6.5793,100,1,,,,,
338,49,10,105,1,14,-1.9219,2.0,0.078072,0,0.0,60,0,0.0,,876.79,1073.2,1696.4
338,49,10,106,2,14,-1.9183,2.3219,0.070299,0,0.0,60,0,,,,,
338,49,10,107,3,14,-1.9502,2.585,0.063322,0,0.0,60,0,,,,,
338,49,10,108,4,14,-1.9056,1.8074,0.026716,0,0.69315,60,1,3.0,0.0,829.59,356.11,1026.5
338,49,10,109,5,14,-1.8366,1.415,0.014536,0,1.7918,60,1,0.0,,305.0,344.79,976.53
338,49,10,110,6,14,-1.9219,3.1699,0.047997,0,1.7918,60,0,0.0,,743.63,-49.871,706.5
338,49,10,111,7,14,-1.8586,1.3219,0.0088274,0,1.7918,60,1,2.0,0.0,415.74,575.5,549.93
