"subj" "seq" "trial" "sl" "ltime" "linger" "laway"
"500" 2 2 5 -1.10391800054808 1.31823177586129 0.183986393091825 0
"501" 2 2 6 NA NA NA 0
"502" 2 2 7 -1.6974257637455 -1.76717716238468 0.183561809583365 0
"503" 2 2 8 -1.31246961279068 1.54053164333623 0.183501154796442 0
"504" 2 2 9 -1.65698919326705 1.17458097473264 0.253102522790539 0
"505" 2 2 10 NA NA NA 0
"506" 2 2 11 NA NA NA 0
"507" 2 2 12 NA NA NA 0
"508" 2 2 13 NA NA NA 0
"509" 2 2 14 NA NA NA 1
"510" 2 2 15 NA NA NA 2
"511" 2 3 1 NA NA NA 2
"512" 2 3 2 NA NA NA 2
"513" 2 3 3 NA NA NA 2
"514" 2 3 4 NA NA NA 2
"515" 2 3 5 NA NA NA 2
"516" 2 3 6 NA NA NA 2
"517" 2 3 7 NA NA NA 2
"518" 2 3 8 NA NA NA 2
"519" 2 3 9 NA NA NA 2
"520" 2 3 10 NA NA NA 2
"521" 2 3 11 NA NA NA 2
"522" 2 3 12 NA NA NA 2
"523" 2 3 13 NA NA NA 2
"524" 2 3 14 NA NA NA 2
"525" 2 3 15 NA NA NA 2
"526" 2 4 1 1.37787651256666 -0.497955108668686 0.183268644779904 0
"527" 2 4 2 0.713261040182891 -0.270792747503177 0.183359626960288 0
"528" 2 4 3 NA NA NA 0
"529" 2 4 4 0.765040068680544 -0.19209313548442 0.183197880861827 1
"530" 2 4 5 NA NA NA 2
"531" 2 4 6 NA NA NA 2
"532" 2 4 7 NA NA NA 2
"533" 2 4 8 NA NA NA 2
"534" 2 4 9 NA NA NA 2
"535" 2 4 10 NA NA NA 2
"536" 2 4 11 NA NA NA 2
"537" 2 4 12 NA NA NA 2
"538" 2 4 13 NA NA NA 2
"539" 2 4 14 NA NA NA 2
"540" 2 4 15 NA NA NA 2
"541" 2 5 1 0.428213545737692 -0.836055111747341 -0.785398411510932 0
"542" 2 5 2 0.223938100823192 0.359248950564518 0.240122398389026 0
"543" 2 5 3 0.115001979954253 -0.428394154230528 -0.249755988194266 0
"544" 2 5 4 0.550554389720236 -0.622964665794435 0.343316409207289 0
"545" 2 5 5 0.520328053287596 -0.0577781200589592 0.184016720485287 0
"546" 2 5 6 -1.77152577914726 1.16073146047886 -0.136705574501021 1
"547" 2 5 7 NA NA NA 2
"548" 2 5 8 NA NA NA 2
"549" 2 5 9 NA NA NA 2
"550" 2 5 10 NA NA NA 2
"551" 2 5 11 NA NA NA 2
"552" 2 5 12 NA NA NA 2
"553" 2 5 13 NA NA NA 2
"554" 2 5 14 NA NA NA 2
"555" 2 5 15 NA NA NA 2
"556" 2 6 1 NA NA NA 2
"557" 2 6 2 NA NA NA 2
"558" 2 6 3 NA NA NA 2
"559" 2 6 4 NA NA NA 2
"560" 2 6 5 NA NA NA 2
"561" 2 6 6 NA NA NA 2
"562" 2 6 7 NA NA NA 2
"563" 2 6 8 NA NA NA 2
"564" 2 6 9 NA NA NA 2
"565" 2 6 10 NA NA NA 2
"566" 2 6 11 NA NA NA 2
"567" 2 6 12 NA NA NA 2
"568" 2 6 13 NA NA NA 2
"569" 2 6 14 NA NA NA 2
"570" 2 6 15 NA NA NA 2
"571" 2 7 1 0.668083281815845 0.109088308430137 0.18338995435375 0
"572" 2 7 2 0.49757237325085 -0.757315063190617 -0.29668257501033 0
"573" 2 7 3 0.456165325080919 0.113607091547977 0.183167553468365 0
"574" 2 7 4 -1.64465603927113 -1.86917832940706 0.183207989992981 1
